일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),일강수량(mm)
2022-07-03,29.3,24.4,34.2,0.0,0.0
2022-07-04,29.3,26.4,32.6,0.83,0.0
2022-07-05,29.2,26.7,33.1,1.42,0.0
2022-07-06,29.5,26.2,33.3,2.5,16.1
2022-07-07,28.2,26.4,31.0,3.67,0.0
2022-07-08,25.8,24.0,27.9,6.25,1.7
2022-07-09,26.9,24.0,30.9,6.0,0.1
2022-07-10,29.2,24.6,35.1,0.42,0.0
2022-07-11,27.0,24.7,30.6,2.5,9.0
2022-07-12,26.8,23.2,29.4,0.0,0.0
2022-07-13,25.0,24.0,27.1,19.98,114.5
2022-07-14,25.7,23.3,29.9,5.92,0.9
2022-07-15,26.0,23.0,30.3,0.0,0.0
2022-07-16,24.8,23.2,28.2,4.08,34.0
2022-07-17,25.5,22.5,29.7,1.5,0.0
2022-07-18,26.8,23.1,30.1,0.0,0.0
2022-07-19,27.4,24.3,31.1,0.0,0.0
2022-07-20,27.1,24.3,30.4,3.83,1.1
2022-07-21,23.2,20.8,25.2,10.83,10.4
2022-07-22,25.1,22.9,27.5,1.75,5.2
2022-07-23,24.8,22.3,28.0,8.58,9.9
2022-07-24,25.0,22.0,28.4,3.67,1.2
2022-07-25,27.5,23.6,32.0,0.0,0.0
2022-07-26,28.9,24.4,33.1,0.0,0.0
2022-07-27,29.3,26.4,33.4,0.0,0.0
2022-07-28,29.7,25.1,34.4,0.0,0.0
2022-07-29,30.7,27.3,34.3,0.0,0.0
2022-07-30,30.9,27.3,36.1,2.33,1.0
2022-07-31,27.2,25.4,29.0,15.75,47.2
2022-08-01,28.6,25.4,32.4,14.83,30.0
2022-08-02,26.8,25.5,28.5,18.58,33.5
2022-08-03,27.1,25.2,30.0,13.25,51.1
2022-08-04,28.9,26.0,32.9,0.42,0.0
2022-08-05,29.4,27.0,32.7,0.5,0.0
2022-08-06,28.7,27.4,30.3,1.67,13.6
2022-08-07,28.9,27.2,31.7,3.33,0.9
2022-08-08,26.8,0.0,28.4,20.92,129.6
2022-08-09,25.1,22.0,26.5,21.5,123.1
2022-08-10,24.7,21.4,28.8,6.5,7.6
2022-08-11,25.0,23.4,27.5,10.67,38.8
2022-08-12,27.0,23.0,32.4,0.0,0.0
2022-08-13,25.8,24.7,27.5,4.67,4.0
2022-08-14,27.6,24.5,31.5,1.5,3.0
2022-08-15,28.1,26.6,29.8,4.42,0.9
2022-08-16,26.7,24.1,30.0,0.75,0.0
2022-08-17,26.0,22.8,30.5,0.75,0.0
2022-08-18,25.6,22.4,29.8,0.0,0.0
2022-08-19,26.0,23.3,27.5,10.33,66.1
2022-08-20,28.2,25.7,32.0,1.83,0.0
2022-08-21,28.1,24.7,32.0,0.0,0.0
2022-08-22,26.8,22.9,30.2,2.0,3.2
2022-08-23,25.4,22.4,30.2,6.17,2.2
2022-08-24,24.8,22.4,27.9,0.0,0.0
2022-08-25,22.2,21.1,24.0,7.08,1.6
2022-08-26,23.8,19.9,28.4,0.0,0.0
2022-08-27,21.5,17.6,25.5,0.58,17.6
2022-08-28,22.6,16.1,28.4,0.0,0.0
2022-08-29,21.0,19.5,22.5,11.58,2.2
2022-08-30,19.1,17.9,20.3,21.42,35.8
2022-08-31,21.7,19.6,24.9,4.17,0.0
2022-09-01,24.0,18.3,30.4,0.0,0.0
2022-09-02,24.7,20.3,29.8,0.0,0.0
2022-09-03,24.2,20.5,29.2,0.0,0.0
2022-09-04,22.3,19.8,24.0,13.67,33.8
2022-09-05,19.2,17.7,22.7,24.0,120.0
2022-09-06,21.0,17.0,26.3,8.92,25.3
2022-09-07,22.8,17.9,28.1,0.0,0.0
2022-09-08,23.2,16.7,29.5,0.0,0.0
2022-09-09,24.3,18.9,30.8,0.0,0.0
2022-09-10,23.6,19.0,28.4,0.0,0.0
2022-09-11,23.3,20.6,26.4,1.83,0.1
2022-09-12,23.8,20.3,27.5,0.0,0.0
2022-09-13,24.3,21.8,26.4,4.83,0.0
2022-09-14,24.6,22.7,27.9,1.17,0.0
2022-09-15,25.2,22.0,28.3,0.42,0.1
2022-09-16,25.7,23.4,29.9,5.5,14.6
2022-09-17,25.6,23.3,29.4,1.92,4.3
2022-09-18,27.1,23.0,32.5,0.0,0.0
2022-09-19,24.6,19.5,29.6,0.0,0.0
2022-09-20,19.9,16.1,24.6,0.0,0.0
2022-09-21,19.4,13.0,25.6,0.0,0.0
2022-09-22,19.8,14.2,24.7,0.0,0.0
2022-09-23,17.5,14.7,22.2,0.67,3.3
2022-09-24,18.5,12.3,24.2,0.0,0.0
2022-09-25,19.6,15.4,25.2,0.0,0.0
2022-09-26,20.0,14.8,25.4,0.0,0.0
2022-09-27,20.9,14.0,28.0,0.0,0.0
2022-09-28,20.4,16.1,26.1,0.0,0.0
2022-09-29,20.4,16.4,26.5,0.0,0.0
2022-09-30,20.7,14.8,27.7,0.0,0.0
2022-10-01,20.9,14.4,27.6,0.0,0.0
2022-10-02,19.4,17.2,21.6,15.08,15.8
2022-10-03,21.4,17.5,23.4,22.58,76.0
2022-10-04,17.9,14.2,23.0,7.08,11.8
2022-10-05,16.6,14.1,21.6,3.58,0.1
2022-10-06,15.8,12.7,19.1,2.25,0.0
2022-10-07,14.3,11.0,18.6,0.0,0.0
2022-10-08,15.8,11.1,21.6,0.0,0.0
2022-10-09,13.1,10.7,14.5,13.67,20.4
2022-10-10,9.9,8.2,11.9,4.58,0.0
2022-10-11,11.1,7.4,16.4,0.0,0.0
2022-10-12,13.5,6.5,20.6,0.0,0.0
2022-10-13,16.3,10.7,22.7,0.0,0.0
2022-10-14,17.1,12.4,23.0,0.0,0.0
2022-10-15,18.2,12.6,24.4,0.0,0.0
2022-10-16,16.9,15.1,20.5,0.0,0.0
2022-10-17,11.2,7.4,15.1,0.0,0.0
2022-10-18,9.4,5.0,14.2,0.0,0.0
2022-10-19,10.5,4.4,16.8,0.0,0.0
2022-10-20,12.9,6.0,19.7,0.0,0.0
2022-10-21,14.0,8.8,20.9,0.0,0.0
2022-10-22,15.1,10.5,20.8,0.0,0.0
2022-10-23,14.0,10.4,18.6,0.0,0.0
2022-10-24,10.6,7.5,14.8,0.0,0.0
2022-10-25,11.3,5.9,17.6,0.0,0.0
2022-10-26,12.9,8.0,17.8,0.0,0.0
2022-10-27,13.2,8.6,18.9,0.0,0.0
2022-10-28,13.6,8.2,20.6,0.0,0.0
2022-10-29,14.8,10.2,21.3,0.0,0.0
2022-10-30,14.9,10.4,21.3,0.0,0.0
2022-10-31,14.9,11.2,21.1,0.0,0.0
2022-11-01,13.1,9.4,17.8,0.0,0.0
2022-11-02,11.1,5.5,17.9,0.0,0.0
2022-11-03,9.3,5.6,13.4,1.75,0.0
2022-11-04,4.9,1.6,9.8,0.0,0.0
2022-11-05,6.5,0.8,13.6,0.0,0.0
2022-11-06,9.6,3.7,16.4,0.0,0.0
2022-11-07,11.4,6.1,16.6,0.17,0.0
2022-11-08,12.9,9.7,17.9,0.0,0.0
2022-11-09,11.4,6.7,16.0,0.0,0.0
2022-11-10,13.5,8.8,19.1,0.0,0.0
2022-11-11,15.6,10.9,22.1,0.0,0.0
2022-11-12,16.3,11.6,22.0,7.5,57.9
2022-11-13,10.3,8.7,17.3,0.0,0.0
2022-11-14,9.7,5.9,13.8,0.0,0.0
2022-11-15,8.1,4.0,12.3,2.25,1.6
2022-11-16,8.5,5.5,13.0,0.0,0.0
2022-11-17,10.2,5.4,16.6,0.0,0.0
2022-11-18,11.0,5.3,18.1,0.0,0.0
2022-11-19,12.9,8.7,19.2,0.0,0.0
2022-11-20,13.7,9.5,20.2,0.0,0.0
2022-11-21,11.8,9.3,16.2,0.0,0.0
2022-11-22,10.7,7.0,13.7,2.17,0.0
2022-11-23,10.8,6.8,15.2,1.5,0.0
2022-11-24,9.4,5.9,14.1,0.0,0.0
2022-11-25,12.3,7.1,17.8,1.32,1.7
2022-11-26,6.7,1.0,12.9,0.0,0.0
2022-11-27,5.4,-1.1,11.5,0.0,0.0
2022-11-28,12.3,7.5,15.0,11.58,19.5
2022-11-29,6.9,-1.6,15.0,7.58,3.8
2022-11-30,-5.4,-8.1,-1.6,0.0,0.0
2022-12-01,-5.4,-9.4,-1.2,0.0,0.0
2022-12-02,-2.5,-7.6,3.0,0.0,0.0
2022-12-03,2.1,-0.3,7.0,7.33,1.1
2022-12-04,-3.5,-5.2,-0.2,0.0,0.0
2022-12-05,-3.1,-7.0,1.9,0.0,0.0
2022-12-06,0.9,-3.9,5.3,4.75,0.1
2022-12-07,4.9,1.2,9.0,3.33,0.1
2022-12-08,3.7,0.1,9.1,0.0,0.0
2022-12-09,4.5,0.9,10.2,0.58,0.0
2022-12-10,2.6,-0.6,6.7,0.0,0.0
2022-12-11,1.6,-1.5,6.8,0.0,0.0
2022-12-12,2.0,-2.0,6.3,5.08,5.4
2022-12-13,0.0,-6.4,3.1,6.17,0.6
2022-12-14,-8.4,-11.0,-4.9,0.0,0.0
2022-12-15,-4.5,-8.5,-1.3,6.67,2.4
2022-12-16,-6.3,-9.6,-2.2,0.0,0.0
2022-12-17,-7.0,-9.8,-3.2,2.33,0.2
2022-12-18,-9.5,-12.4,-5.6,0.0,0.0
2022-12-19,-7.0,-12.0,-2.5,0.0,0.0
2022-12-20,-3.2,-9.5,2.9,0.0,0.0
2022-12-21,-0.1,-2.6,2.6,9.17,3.6
2022-12-22,-7.8,-11.3,-2.6,0.0,0.0
2022-12-23,-11.8,-13.7,-8.6,0.0,0.0
2022-12-24,-8.4,-13.5,-2.0,0.0,0.0
2022-12-25,-5.4,-9.6,0.2,0.0,0.0
2022-12-26,-3.9,-7.9,1.7,0.0,0.0
2022-12-27,-2.6,-7.3,3.3,0.0,0.0
2022-12-28,-3.3,-6.0,0.1,3.0,0.1
2022-12-29,-2.9,-7.8,2.1,4.33,0.0
2022-12-30,-1.8,-4.4,2.3,2.58,0.0
2022-12-31,-1.2,-5.1,2.1,1.42,0.0
2023-01-01,-0.2,-4.3,3.8,0.0,0.0
2023-01-02,-4.5,-7.4,-0.4,0.0,0.0
2023-01-03,-5.0,-9.0,0.6,0.0,0.0
2023-01-04,-1.8,-5.7,3.3,0.0,0.0
2023-01-05,-1.6,-5.6,3.6,0.0,0.0
2023-01-06,0.6,-4.7,5.7,4.78,3.9
2023-01-07,1.5,-1.4,3.8,1.42,0.1
2023-01-08,1.3,-3.7,6.3,0.0,0.0
2023-01-09,3.1,-1.3,7.0,0.0,0.0
2023-01-10,1.6,-3.9,9.1,0.0,0.0
2023-01-11,2.6,-2.0,9.2,0.0,0.0
2023-01-12,5.9,-0.6,12.5,0.92,0.0
2023-01-13,8.3,5.1,10.1,23.08,37.3
2023-01-14,6.6,3.8,8.4,16.33,1.6
2023-01-15,-0.2,-3.5,3.8,23.17,3.2
2023-01-16,-4.6,-6.8,-1.2,8.5,0.0
2023-01-17,-3.7,-7.0,-0.4,2.92,0.0
2023-01-18,-1.9,-4.6,2.2,1.5,0.0
2023-01-19,-0.4,-6.0,4.3,4.0,1.0
2023-01-20,-3.3,-7.7,2.0,0.0,0.0
2023-01-21,-4.5,-10.5,1.5,0.0,0.0
2023-01-22,-0.6,-2.8,2.6,2.0,0.0
2023-01-23,-0.8,-6.9,4.6,0.0,0.0
2023-01-24,-14.7,-17.0,-6.9,0.92,0.0
2023-01-25,-11.3,-17.3,-5.4,0.17,0.0
2023-01-26,-6.0,-9.0,-3.5,14.92,0.8
2023-01-27,-7.3,-9.6,-3.8,0.0,0.0
2023-01-28,-6.0,-11.2,-0.6,0.17,0.0
2023-01-29,-1.8,-8.0,4.9,0.0,0.0
2023-01-30,-0.9,-4.4,4.2,0.0,0.0
2023-01-31,2.4,-3.5,7.8,0.0,0.0
2023-02-01,0.9,-3.0,6.0,0.0,0.0
2023-02-02,-2.4,-5.1,1.4,0.0,0.0
2023-02-03,-1.6,-3.9,3.4,0.0,0.0
2023-02-04,-0.2,-5.2,6.0,0.0,0.0
2023-02-05,1.7,-3.3,7.1,0.0,0.0
2023-02-06,3.0,-1.7,8.8,0.0,0.0
2023-02-07,3.5,-0.6,9.5,0.0,0.0
2023-02-08,2.1,-1.3,7.8,0.0,0.0
2023-02-09,4.0,-2.8,9.9,0.67,0.0
2023-02-10,3.8,1.1,6.2,9.92,0.6
2023-02-11,2.8,-1.2,8.5,0.0,0.0
2023-02-12,3.7,-0.9,7.6,0.0,0.0
2023-02-13,5.9,2.7,8.4,0.0,0.0
2023-02-14,1.7,-2.5,6.6,0.0,0.0
2023-02-15,3.2,-1.2,8.9,0.0,0.0
2023-02-16,2.3,-0.7,4.5,0.0,0.0
2023-02-17,3.4,-1.5,9.8,0.0,0.0
2023-02-18,5.7,3.0,8.1,0.0,0.0
2023-02-19,3.5,0.2,6.1,2.92,0.4
2023-02-20,-0.5,-3.5,2.4,0.0,0.0
2023-02-21,-1.3,-5.3,4.8,0.0,0.0
2023-02-22,1.2,-4.5,8.4,0.0,0.0
2023-02-23,2.9,-1.8,9.2,0.0,0.0
2023-02-24,3.5,-0.4,8.5,0.0,0.0
2023-02-25,0.7,-2.9,5.7,0.0,0.0
2023-02-26,2.2,-3.4,9.4,0.0,0.0
2023-02-27,4.4,-1.8,12.4,0.0,0.0
2023-02-28,4.3,-0.7,8.7,0.0,0.0
2023-03-01,6.0,2.9,9.0,0.0,0.0
2023-03-02,2.2,-1.8,6.6,0.0,0.0
2023-03-03,4.6,-1.9,10.4,0.0,0.0
2023-03-04,7.7,3.7,14.1,0.0,0.0
2023-03-05,8.0,2.5,15.4,0.0,0.0
2023-03-06,9.2,2.2,16.5,0.0,0.0
2023-03-07,11.7,6.3,19.4,0.0,0.0
2023-03-08,12.5,7.4,17.7,1.08,1.2
2023-03-09,10.3,7.4,13.1,4.83,3.7
2023-03-10,13.5,6.2,22.2,0.0,0.0
2023-03-11,15.2,10.2,22.8,0.0,0.0
2023-03-12,5.9,0.6,12.6,6.33,5.6
2023-03-13,2.9,-1.9,7.6,0.0,0.0
2023-03-14,9.2,3.3,15.4,0.0,0.0
2023-03-15,8.6,3.5,14.4,0.0,0.0
2023-03-16,4.6,0.4,9.0,0.0,0.0
2023-03-17,7.2,0.7,12.7,0.0,0.0
2023-03-18,7.7,2.5,14.0,0.0,0.0
2023-03-19,8.3,2.3,15.2,0.0,0.0
2023-03-20,9.5,2.6,17.1,0.0,0.0
2023-03-21,13.0,5.0,22.2,0.0,0.0
2023-03-22,17.0,9.2,25.1,0.0,0.0
2023-03-23,17.4,12.3,23.3,2.92,0.0
2023-03-24,12.5,7.6,18.3,0.0,0.0
2023-03-25,12.5,8.0,18.7,0.0,0.0
2023-03-26,9.4,4.7,14.0,0.0,0.0
2023-03-27,7.3,1.9,14.5,0.0,0.0
2023-03-28,9.2,2.8,15.7,0.0,0.0
2023-03-29,11.8,5.1,19.7,0.0,0.0
2023-03-30,13.3,6.4,21.2,0.0,0.0
2023-03-31,15.0,7.5,23.9,0.0,0.0
2023-04-01,17.5,9.4,25.6,0.0,0.0
2023-04-02,18.8,11.9,25.2,0.0,0.0
2023-04-03,19.0,11.3,25.9,0.0,0.0
2023-04-04,17.6,12.7,21.7,5.08,6.9
2023-04-05,11.9,8.7,14.9,22.5,50.3
2023-04-06,8.8,7.4,9.7,19.17,2.7
2023-04-07,8.9,4.6,15.7,0.0,0.0
2023-04-08,8.8,3.1,14.9,0.0,0.0
2023-04-09,10.8,3.5,17.8,0.0,0.0
2023-04-10,13.2,6.2,19.1,0.0,0.0
2023-04-11,13.1,9.2,17.4,6.92,2.9
2023-04-12,10.1,4.8,15.3,0.0,0.0
2023-04-13,11.9,5.1,17.2,0.25,0.0
2023-04-14,16.2,11.9,21.3,0.0,0.0
2023-04-15,13.5,9.3,16.6,3.0,4.6
2023-04-16,10.8,7.5,16.1,0.48,0.0
2023-04-17,13.1,6.8,18.1,0.0,0.0
2023-04-18,14.0,10.7,18.4,8.42,1.5
2023-04-19,19.1,11.5,28.4,0.0,0.0
2023-04-20,15.8,14.5,18.9,9.17,0.5
2023-04-21,16.7,11.4,22.8,0.0,0.0
2023-04-22,16.9,12.2,22.5,0.0,0.0
2023-04-23,16.1,10.7,22.1,0.0,0.0
2023-04-24,15.8,11.5,21.3,0.0,0.0
2023-04-25,10.9,9.0,13.2,13.25,0.4
2023-04-26,10.2,7.4,13.5,0.58,0.0
2023-04-27,12.9,5.1,20.0,0.0,0.0
2023-04-28,15.7,9.0,21.3,2.83,1.9
2023-04-29,13.2,9.9,15.8,13.83,25.1
2023-04-30,12.7,7.9,17.9,2.92,0.1
2023-05-01,14.6,9.8,20.8,0.0,0.0
2023-05-02,16.7,9.1,23.7,0.0,0.0
2023-05-03,19.5,12.4,26.2,0.0,0.0
2023-05-04,21.4,15.6,25.8,0.0,0.0
2023-05-05,18.4,15.5,21.6,22.67,30.2
2023-05-06,12.6,11.7,15.5,16.42,47.5
2023-05-07,14.4,11.1,18.6,0.0,0.0
2023-05-08,15.3,7.9,22.0,0.0,0.0
2023-05-09,17.0,10.0,24.4,0.0,0.0
2023-05-10,18.4,10.7,26.0,0.0,0.0
2023-05-11,19.5,12.8,26.7,0.0,0.0
2023-05-12,18.4,13.1,24.7,0.0,0.0
2023-05-13,17.8,12.6,23.9,0.17,0.0
2023-05-14,18.1,12.9,23.8,0.0,0.0
2023-05-15,20.6,12.8,27.9,0.0,0.0
2023-05-16,24.0,17.2,31.2,0.0,0.0
2023-05-17,23.5,18.6,28.7,0.0,0.0
2023-05-18,21.2,18.8,27.6,0.83,1.3
2023-05-19,22.3,16.7,27.8,0.0,0.0
2023-05-20,21.2,16.6,26.7,0.0,0.0
2023-05-21,17.8,15.3,21.9,5.58,0.2
2023-05-22,20.3,15.9,26.8,0.33,0.0
2023-05-23,20.5,14.1,26.9,0.0,0.0
2023-05-24,20.6,14.8,25.9,0.0,0.0
2023-05-25,21.2,15.7,27.4,0.17,0.0
2023-05-26,21.4,15.8,27.3,2.0,0.5
2023-05-27,19.3,18.6,20.7,15.5,31.8
2023-05-28,19.2,18.4,20.2,24.0,41.8
2023-05-29,23.2,19.0,28.5,7.5,2.3
2023-05-30,24.0,20.5,28.9,0.0,0.0
2023-05-31,22.8,18.8,28.2,0.0,0.0
2023-06-01,22.8,19.7,26.3,0.0,0.0
2023-06-02,20.4,17.9,25.0,0.17,0.0
2023-06-03,22.0,16.6,27.8,0.0,0.0
2023-06-04,22.1,16.9,28.0,0.0,0.0
2023-06-05,21.5,17.6,26.3,0.0,0.0
2023-06-06,20.3,17.3,25.2,0.92,0.0
2023-06-07,21.4,18.9,25.7,1.17,0.0
2023-06-08,20.4,18.3,23.9,5.33,1.9
2023-06-09,23.3,18.3,28.4,3.42,1.2
2023-06-10,23.2,19.6,28.5,1.83,0.8
2023-06-11,22.1,17.9,27.3,5.42,32.2
2023-06-12,22.2,18.4,27.5,1.92,0.0
2023-06-13,22.0,19.2,26.0,0.5,0.0
2023-06-14,20.6,17.5,25.0,2.25,30.6
2023-06-15,22.7,17.7,28.3,0.0,0.0
2023-06-16,23.7,19.1,28.9,0.0,0.0
2023-06-17,24.2,18.9,30.2,0.0,0.0
2023-06-18,25.9,20.8,32.6,0.0,0.0
2023-06-19,28.5,23.3,34.0,0.0,0.0
2023-06-20,24.7,21.4,26.4,6.83,6.4
2023-06-21,20.5,19.2,22.1,14.67,24.9
2023-06-22,22.5,18.9,26.4,0.25,0.0
2023-06-23,24.4,20.0,29.9,0.0,0.0
2023-06-24,26.4,21.9,31.1,0.0,0.0
2023-06-25,28.2,22.8,33.1,0.0,0.0
2023-06-26,24.2,22.3,27.5,13.25,30.3
2023-06-27,25.3,21.4,29.1,2.5,2.5
2023-06-28,26.5,24.2,30.1,0.5,0.0
2023-06-29,24.2,23.2,25.9,17.83,63.8
2023-06-30,25.3,23.2,29.1,11.92,1.0
2023-07-01,27.7,23.3,32.9,0.0,0.0
2023-07-02,26.7,23.5,30.6,0.0,0.0
2023-07-03,29.1,24.1,34.9,0.0,0.0
2023-07-04,26.1,24.5,29.2,10.5,61.8
2023-07-05,24.5,22.1,27.1,6.08,15.3
2023-07-06,27.3,22.4,31.8,0.0,0.0
2023-07-07,26.7,23.3,31.4,0.0,0.0
2023-07-08,25.6,22.4,29.7,0.0,0.0
2023-07-09,24.7,21.6,27.0,7.17,47.5
2023-07-10,26.3,22.9,30.9,0.67,11.5
2023-07-11,23.5,21.6,25.9,11.83,58.3
2023-07-12,25.8,22.0,29.1,5.17,0.7
2023-07-13,25.2,24.7,26.5,20.67,91.6
2023-07-14,24.6,23.9,25.1,24.0,72.7
2023-07-15,24.5,23.7,25.7,14.25,2.3
2023-07-16,24.6,23.7,25.4,2.92,9.7
2023-07-17,25.5,23.7,27.8,3.75,1.4
2023-07-18,25.2,24.1,27.7,12.67,2.3
2023-07-19,27.2,22.5,32.4,0.0,0.0
2023-07-20,27.9,24.0,32.8,0.0,0.0
2023-07-21,29.5,24.6,34.3,0.0,0.0
2023-07-22,27.7,24.6,32.5,7.08,12.3
2023-07-23,25.2,24.5,25.8,19.0,40.2
2023-07-24,26.9,24.6,30.0,2.08,0.4
2023-07-25,27.8,25.8,30.5,1.75,5.6
2023-07-26,27.6,24.9,31.1,2.67,1.0
2023-07-27,28.4,24.4,32.2,0.25,0.0
2023-07-28,29.5,25.4,34.1,0.0,0.0
2023-07-29,29.1,26.1,33.3,0.0,0.0
2023-07-30,28.8,24.9,34.9,3.17,25.0
2023-07-31,28.7,25.6,33.4,0.67,0.3
2023-08-01,29.9,25.5,34.2,0.0,0.0
2023-08-02,29.7,26.8,33.7,0.0,0.0
2023-08-03,29.5,25.8,33.8,0.0,0.0
2023-08-04,30.0,26.5,34.4,0.0,0.0
2023-08-05,30.3,26.4,34.9,0.0,0.0
2023-08-06,29.8,27.0,33.0,1.58,4.9
2023-08-07,30.4,27.3,34.6,0.0,0.0
2023-08-08,30.9,26.4,35.8,0.0,0.0
2023-08-09,28.3,25.1,31.6,1.58,0.2
2023-08-10,22.2,20.9,25.1,24.0,86.1
2023-08-11,23.5,21.6,24.9,21.5,46.7
2023-08-12,23.3,22.5,24.1,14.42,1.5
2023-08-13,27.0,22.6,31.1,0.0,0.0
2023-08-14,28.1,24.8,31.9,0.0,0.0
2023-08-15,28.6,24.7,32.7,0.0,0.0
2023-08-16,27.3,24.7,31.6,0.92,0.3
2023-08-17,28.2,24.5,32.4,0.0,0.0
2023-08-18,29.1,25.5,33.3,0.67,0.1
2023-08-19,29.1,26.4,33.6,0.0,0.0
2023-08-20,28.3,25.5,31.8,1.83,0.0
2023-08-21,29.5,26.0,33.6,1.17,0.0
2023-08-22,27.6,25.8,32.2,7.75,42.6
2023-08-23,24.8,23.2,27.2,17.58,41.8
2023-08-24,25.1,22.3,27.8,4.33,5.2
2023-08-25,26.5,24.0,30.0,0.17,0.0
2023-08-26,26.4,23.3,30.3,0.0,0.0
2023-08-27,26.1,22.7,29.6,5.67,0.0
2023-08-28,22.7,20.8,25.6,20.67,10.4
2023-08-29,23.9,22.5,25.5,16.92,54.8
2023-08-30,22.8,21.5,24.5,10.42,3.5
2023-08-31,23.9,21.0,28.9,0.0,0.0
2023-09-01,24.5,19.7,29.6,0.0,0.0
2023-09-02,25.4,19.7,30.8,0.0,0.0
2023-09-03,25.8,23.1,28.8,2.75,0.1
2023-09-04,27.0,24.3,30.2,2.5,0.3
2023-09-05,28.5,25.0,32.8,0.17,0.0
2023-09-06,27.9,24.0,32.1,0.0,0.0
2023-09-07,26.3,20.9,31.6,0.0,0.0
2023-09-08,25.3,19.6,30.5,0.0,0.0
2023-09-09,25.8,20.8,31.2,0.0,0.0
2023-09-10,25.7,22.0,29.6,0.0,0.0
2023-09-11,25.5,23.1,29.8,0.0,0.0
2023-09-12,25.7,21.7,29.8,0.0,0.0
2023-09-13,22.1,19.6,24.6,15.75,15.9
2023-09-14,23.4,19.2,27.2,0.0,0.0
2023-09-15,22.3,20.3,24.3,12.17,2.1
2023-09-16,23.9,22.0,26.6,9.75,38.7
2023-09-17,24.7,22.0,28.0,2.08,3.0
2023-09-18,24.7,22.1,28.9,0.0,0.0
2023-09-19,24.1,21.6,27.2,0.0,0.0
2023-09-20,20.6,18.8,23.9,18.83,35.8
2023-09-21,20.1,17.5,23.6,0.83,0.0
2023-09-22,20.5,15.2,26.7,0.0,0.0
2023-09-23,21.8,16.3,27.6,0.0,0.0
2023-09-24,21.8,17.9,26.2,0.0,0.0
2023-09-25,21.6,17.9,26.0,8.08,1.9
2023-09-26,19.9,18.6,20.8,24.0,27.8
2023-09-27,21.5,20.0,23.7,11.75,4.4
2023-09-28,22.7,19.6,27.3,0.0,0.0
2023-09-29,21.1,17.4,26.9,0.0,0.0
